Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,PinHeader_1x01_P2.54mm_Vertical,164.1,-48.5,0.0,top
D1,LED,D_0805_2012Metric,142.24,-87.63,90.0,top
D2,LED,D_0805_2012Metric,146.05,-87.63,90.0,top
D3,LED,D_0805_2012Metric,149.86,-87.63,90.0,top
D4,LED,D_0805_2012Metric,153.67,-87.63,90.0,top
F1,3A,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,187.96,-98.88,90.0,top
HS1,Heatsink (shared by 2 triacs),Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm,78.995,-69.36,-90.0,top
HS2,Heatsink (shared by 2 triacs),Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm,97.0,-69.3,-90.0,top
J1,3.5mm headphone jack,Jack_3.5mm_PJ320D_Horizontal,210.288,-78.62,180.0,top
J2,Main + Sorties,TerminalBlock_bornier-6_P5.08mm,145.18,-51.2,0.0,top
PS1,Alim RS PRO 5V 1A,Converter_ACDC_MeanWell_IRM-03-xx_THT,116.6475,-69.76,0.0,top
Q1,BT136-600E,TO-220-3_Vertical,76.455,-69.36,-90.0,top
Q2,BT136-600E,TO-220-3_Vertical,81.5,-69.35,90.0,top
Q3,BT136-600E,TO-220-3_Vertical,94.46,-69.3,-90.0,top
Q4,BT136-600E,TO-220-3_Vertical,99.505,-69.29,90.0,top
R1,4.7KΩ,R_0402_1005Metric,201.1,-79.25,90.0,top
R2,10KΩ,R_0603_1608Metric,191.77,-62.23,0.0,top
R3,10KΩ,R_0603_1608Metric,191.77,-64.77,0.0,top
R4,10KΩ,R_0603_1608Metric,191.77,-67.31,0.0,top
R5,330Ω,R_0603_1608Metric,142.24,-83.82,-90.0,top
R6,330Ω,R_0603_1608Metric,146.05,-83.82,-90.0,top
R7,330Ω,R_0603_1608Metric,149.86,-83.82,-90.0,top
R8,330Ω,R_0603_1608Metric,153.67,-83.82,-90.0,top
R9,220Ω,R_0603_1608Metric,143.51,-75.565,0.0,top
R10,220Ω,R_0603_1608Metric,156.21,-75.565,0.0,top
R11,220Ω,R_0603_1608Metric,168.91,-75.565,0.0,top
R12,220Ω,R_0603_1608Metric,181.61,-75.565,0.0,top
R13,360Ω/0.5W,R_1210_3225Metric,138.43,-65.405,90.0,top
R14,360Ω/0.5W,R_1210_3225Metric,151.13,-65.405,90.0,top
R15,360Ω/0.5W,R_1210_3225Metric,163.83,-65.405,90.0,top
R16,360Ω/0.5W,R_1210_3225Metric,176.53,-65.405,90.0,top
U1,ESP32-POE,ESP32-POE,176.1805,-69.72,90.0,top
U2,QAM-RX10-433,AMRX12A433P,187.56,-51.2,0.0,top
U3,MOC3021M,SMDIP-6_W9.53mm,144.78,-68.58,90.0,top
U4,MOC3021M,SMDIP-6_W9.53mm,157.48,-68.58,90.0,top
U5,MOC3021M,SMDIP-6_W9.53mm,170.18,-68.58,90.0,top
U6,MOC3021M,SMDIP-6_W9.53mm,182.88,-68.58,90.0,top
