Comment,Designator,Footprint,LCSC
LTV-814,U1,SMDIP-4_W9.53mm,C125118
1uF/6V,C1,R_0603_1608Metric,C15849
MCP3208,"U2,U3",SOIC-16_3.9x9.9mm_P1.27mm,C16939
1KΩ,"R1,R11,R17,R2,R23,R29,R35,R41,R47,R53,R59,R65,R71,R77,R8,R83,R89,R95",R_0603_1608Metric,C21190
12KΩ,"R10,R5,R6",R_0603_1608Metric,C22790
220Ω,R7,R_0603_1608Metric,C22962
LED,"D1,D2",D_0805_2012Metric,C2297
3.3KΩ,R4,R_0603_1608Metric,C22978
100KΩ,R9,R_0603_1608Metric,C25803
10KΩ,R3,R_0603_1608Metric,C25804
BSS138,Q1,SOT-23,C2938375
100Ω/0.5W,"R14,R20,R26,R32,R38,R44,R50,R56,R62,R68,R74,R80,R86,R92,R98",R_0805_2012Metric,C417003
120Ω/0.5W,"R13,R19,R25,R31,R37,R43,R49,R55,R61,R67,R73,R79,R85,R91,R97",R_0805_2012Metric,C543533
200Ω/0.5W,"R12,R18,R24,R30,R36,R42,R48,R54,R60,R66,R72,R78,R84,R90,R96",R_0805_2012Metric,C560506
33Ω/0.5W,"R100,R16,R22,R28,R34,R40,R46,R52,R58,R64,R70,R76,R82,R88,R94",R_0805_2012Metric,C560522
62Ω/0.5W,"R15,R21,R27,R33,R39,R45,R51,R57,R63,R69,R75,R81,R87,R93,R99",R_0805_2012Metric,C560547
LMV321,U4,SOT-23-5,C7972
SS-10-15SPE,S2,RS PRO SS-10-15SPE,
SS-10-15SPE,S11,RS PRO SS-10-15SPE,
Screw_Terminal_01x02,J19,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J5,RS PRO Terminal Small x2,
SS-10-15SPE,S3,RS PRO SS-10-15SPE,
SS-10-15SPE,S5,RS PRO SS-10-15SPE,
Screw_Terminal_01x02,J2,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J13,RS PRO Terminal Small x2,
SS-10-15SPE,S8,RS PRO SS-10-15SPE,
SS-10-15SPE,S4,RS PRO SS-10-15SPE,
SS-10-15SPE,S9,RS PRO SS-10-15SPE,
Screw_Terminal_01x02,J11,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J6,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J17,RS PRO Terminal Small x2,
SS-10-15SPE,S1,RS PRO SS-10-15SPE,
SS-10-15SPE,S14,RS PRO SS-10-15SPE,
Conn_02x04_Odd_Even,J1,PinHeader_2x04_P2.54mm_Vertical,
SS-10-15SPE,S12,RS PRO SS-10-15SPE,
SS-10-15SPE,S15,RS PRO SS-10-15SPE,
Screw_Terminal_01x02,J7,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J14,RS PRO Terminal Small x2,
Conn_01x02_Male,J3,PinHeader_1x02_P2.54mm_Vertical,
Screw_Terminal_01x02,J4,TerminalBlock_bornier-2_P5.08mm,
Screw_Terminal_01x02,J15,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J12,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J16,RS PRO Terminal Small x2,
SS-10-15SPE,S13,RS PRO SS-10-15SPE,
SS-10-15SPE,S7,RS PRO SS-10-15SPE,
SS-10-15SPE,S6,RS PRO SS-10-15SPE,
Screw_Terminal_01x02,J18,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J9,RS PRO Terminal Small x2,
Screw_Terminal_01x02,J8,RS PRO Terminal Small x2,
230V - 6V,T1,RS PRO Transfo 6V 0.35VA,
SS-10-15SPE,S10,RS PRO SS-10-15SPE,
Screw_Terminal_01x02,J10,RS PRO Terminal Small x2,
