Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/6V,R_0603_1608Metric,142.367,-71.755,180.0,top
D1,LED,D_0805_2012Metric,105.2576,-108.6104,180.0,top
D2,LED,D_0805_2012Metric,119.7864,-43.0276,180.0,top
J1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,105.0798,-116.5352,90.0,top
J2,Screw_Terminal_01x02,RS PRO Terminal Small x2,118.872,-35.3084,0.0,top
J3,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,135.9875,-76.835,180.0,top
J4,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,111.76,-38.1,180.0,top
J5,Screw_Terminal_01x02,RS PRO Terminal Small x2,129.4384,-35.2576,0.0,top
J6,Screw_Terminal_01x02,RS PRO Terminal Small x2,140.2588,-35.156,0.0,top
J7,Screw_Terminal_01x02,RS PRO Terminal Small x2,151.0792,-35.2298,0.0,top
J8,Screw_Terminal_01x02,RS PRO Terminal Small x2,161.8488,-35.2298,0.0,top
J9,Screw_Terminal_01x02,RS PRO Terminal Small x2,172.72,-35.2298,0.0,top
J10,Screw_Terminal_01x02,RS PRO Terminal Small x2,183.5404,-35.2298,0.0,top
J11,Screw_Terminal_01x02,RS PRO Terminal Small x2,194.4624,-35.2298,0.0,top
J12,Screw_Terminal_01x02,RS PRO Terminal Small x2,121.3866,-118.2116,180.0,top
J13,Screw_Terminal_01x02,RS PRO Terminal Small x2,132.334,-118.1696,180.0,top
J14,Screw_Terminal_01x02,RS PRO Terminal Small x2,143.129,-118.0846,180.0,top
J15,Screw_Terminal_01x02,RS PRO Terminal Small x2,153.924,-118.0846,180.0,top
J16,Screw_Terminal_01x02,RS PRO Terminal Small x2,164.719,-118.0846,180.0,top
J17,Screw_Terminal_01x02,RS PRO Terminal Small x2,175.514,-118.0846,180.0,top
J18,Screw_Terminal_01x02,RS PRO Terminal Small x2,186.309,-118.0846,180.0,top
J19,Screw_Terminal_01x02,RS PRO Terminal Small x2,197.231,-118.0846,180.0,top
Q1,BSS138,SOT-23,120.015,-52.705,90.0,top
R1,1KΩ,R_0603_1608Metric,108.9152,-108.6104,180.0,top
R2,1KΩ,R_0603_1608Metric,117.475,-48.895,0.0,top
R3,10KΩ,R_0603_1608Metric,113.665,-48.895,180.0,top
R4,3.3KΩ,R_0603_1608Metric,120.015,-55.88,180.0,top
R5,12KΩ,R_0603_1608Metric,142.367,-67.945,180.0,top
R6,12KΩ,R_0603_1608Metric,142.367,-69.85,0.0,top
R7,220Ω,R_0603_1608Metric,109.855,-48.895,180.0,top
R8,1KΩ,R_0603_1608Metric,142.367,-77.465,180.0,top
R9,100KΩ,R_0603_1608Metric,142.367,-75.56,180.0,top
R10,12KΩ,R_0603_1608Metric,142.367,-73.655,0.0,top
R11,1KΩ,R_0603_1608Metric,133.3198,-59.5692,180.0,top
R12,200Ω/0.5W,R_0805_2012Metric,128.9098,-52.5588,180.0,top
R13,120Ω/0.5W,R_0805_2012Metric,128.9162,-56.0772,180.0,top
R14,100Ω/0.5W,R_0805_2012Metric,128.9162,-59.5692,180.0,top
R15,62Ω/0.5W,R_0805_2012Metric,133.3198,-52.5588,0.0,top
R16,33Ω/0.5W,R_0805_2012Metric,133.3262,-56.0772,0.0,top
R17,1KΩ,R_0603_1608Metric,144.1402,-59.5692,180.0,top
R18,200Ω/0.5W,R_0805_2012Metric,139.7302,-52.5588,180.0,top
R19,120Ω/0.5W,R_0805_2012Metric,139.7366,-56.0772,180.0,top
R20,100Ω/0.5W,R_0805_2012Metric,139.7366,-59.5692,180.0,top
R21,62Ω/0.5W,R_0805_2012Metric,144.1402,-52.5588,0.0,top
R22,33Ω/0.5W,R_0805_2012Metric,144.1466,-56.0772,0.0,top
R23,1KΩ,R_0603_1608Metric,155.0114,-59.5692,180.0,top
R24,200Ω/0.5W,R_0805_2012Metric,150.6014,-52.5588,180.0,top
R25,120Ω/0.5W,R_0805_2012Metric,150.6078,-56.0772,180.0,top
R26,100Ω/0.5W,R_0805_2012Metric,150.6078,-59.5692,180.0,top
R27,62Ω/0.5W,R_0805_2012Metric,155.0114,-52.5588,0.0,top
R28,33Ω/0.5W,R_0805_2012Metric,155.0178,-56.0772,0.0,top
R29,1KΩ,R_0603_1608Metric,165.781,-59.62,180.0,top
R30,200Ω/0.5W,R_0805_2012Metric,161.371,-52.6096,180.0,top
R31,120Ω/0.5W,R_0805_2012Metric,161.3774,-56.128,180.0,top
R32,100Ω/0.5W,R_0805_2012Metric,161.3774,-59.62,180.0,top
R33,62Ω/0.5W,R_0805_2012Metric,165.781,-52.6096,0.0,top
R34,33Ω/0.5W,R_0805_2012Metric,165.7874,-56.128,0.0,top
R35,1KΩ,R_0603_1608Metric,176.6522,-59.62,180.0,top
R36,200Ω/0.5W,R_0805_2012Metric,172.2422,-52.6096,180.0,top
R37,120Ω/0.5W,R_0805_2012Metric,172.2486,-56.128,180.0,top
R38,100Ω/0.5W,R_0805_2012Metric,172.2486,-59.62,180.0,top
R39,62Ω/0.5W,R_0805_2012Metric,176.6522,-52.6096,0.0,top
R40,33Ω/0.5W,R_0805_2012Metric,176.6586,-56.128,0.0,top
R41,1KΩ,R_0603_1608Metric,187.4726,-59.62,180.0,top
R42,200Ω/0.5W,R_0805_2012Metric,183.0626,-52.6096,180.0,top
R43,120Ω/0.5W,R_0805_2012Metric,183.069,-56.128,180.0,top
R44,100Ω/0.5W,R_0805_2012Metric,183.069,-59.62,180.0,top
R45,62Ω/0.5W,R_0805_2012Metric,187.4726,-52.6096,0.0,top
R46,33Ω/0.5W,R_0805_2012Metric,187.479,-56.128,0.0,top
R47,1KΩ,R_0603_1608Metric,198.4248,-59.6392,180.0,top
R48,200Ω/0.5W,R_0805_2012Metric,194.0148,-52.6288,180.0,top
R49,120Ω/0.5W,R_0805_2012Metric,194.0212,-56.1472,180.0,top
R50,100Ω/0.5W,R_0805_2012Metric,194.0212,-59.6392,180.0,top
R51,62Ω/0.5W,R_0805_2012Metric,198.4248,-52.6288,0.0,top
R52,33Ω/0.5W,R_0805_2012Metric,198.4312,-56.1472,0.0,top
R53,1KΩ,R_0603_1608Metric,122.30408,-94.00658,180.0,top
R54,200Ω/0.5W,R_0805_2012Metric,118.49408,-94.00658,180.0,top
