Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","2.2uF/63V","C_1206_3216Metric",124.460000,-53.340000,-90.000000,top
"C2","220nF/275V","C_1210_3225Metric",129.540000,-53.340000,-90.000000,top
"C3","10nF","C_0805_2012Metric",147.320000,-81.280000,-90.000000,top
"C4","47nF","C_1206_3216Metric",142.240000,-81.280000,-90.000000,top
"D1","10V/0.4W","D_SOD-123",119.380000,-53.340000,-90.000000,top
"D2","4* 1N5408","Diode_Bridge_Diotec_SO-DIL-Slim",160.020000,-58.420000,0.000000,top
"D6","1N4007","D_SMA",134.620000,-50.800000,-90.000000,top
"J1","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Vertical",101.600000,-71.120000,0.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",175.260000,-60.960000,90.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",175.260000,-101.600000,90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",175.260000,-81.280000,90.000000,top
"Q1","IRF830","TO-263-3_TabPin2",144.545000,-54.290000,90.000000,top
"Q2","BT136-600","TO-252-3_TabPin2",160.020000,-78.740000,180.000000,top
"R1","330Ω","R_0603_1608Metric",109.220000,-63.500000,-90.000000,top
"R2","22KΩ","R_0603_1608Metric",129.540000,-58.420000,90.000000,top
"R3","33KΩ","R_0603_1608Metric",119.380000,-48.260000,180.000000,top
"R4","33KΩ","R_0603_1608Metric",124.460000,-48.260000,180.000000,top
"R5","220Ω","R_0603_1608Metric",129.540000,-48.260000,180.000000,top
"R6","33KΩ/0.5W","R_0805_2012Metric",162.560000,-101.600000,180.000000,top
"R7","33KΩ/0.5W","R_0805_2012Metric",162.560000,-96.520000,180.000000,top
"R8","10KΩ","R_0603_1608Metric",109.220000,-88.900000,-90.000000,top
"R9","39Ω","R_0603_1608Metric",147.320000,-76.200000,-90.000000,top
"R10","470Ω","R_0603_1608Metric",142.240000,-76.200000,-90.000000,top
"R11","360Ω","R_0603_1608Metric",137.160000,-76.200000,90.000000,top
"R12","220Ω","R_0603_1608Metric",109.220000,-76.200000,-90.000000,top
"U1","4N35","SMDIP-6_W7.62mm",119.380000,-66.040000,0.000000,top
"U2","H11AA1","SMDIP-6_W9.53mm",119.380000,-91.440000,180.000000,top
"U3","MOC3021M","SMDIP-6_W7.62mm",119.380000,-78.740000,0.000000,top
