Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2.2uF/63V","C_1206_3216Metric",154.940000,-82.930000,90.000000,top
"C2","2.2uF/63V","C_1206_3216Metric",172.720000,-82.930000,90.000000,top
"D1","10V/0.4W","D_SOD-123",152.400000,-82.930000,90.000000,top
"D2","10V/0.4W","D_SOD-123",170.180000,-82.930000,90.000000,top
"D3","1N4007","D_SMA",152.400000,-88.010000,180.000000,top
"D4","1N4007","D_SMA",170.180000,-88.010000,180.000000,top
"J1","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Vertical",187.960000,-104.140000,0.000000,top
"J2","Screw_Terminal_01x03","TerminalBlock_bornier-3_P5.08mm",187.960000,-55.880000,-90.000000,top
"J3","Screw_Terminal_01x03","TerminalBlock_bornier-3_P5.08mm",111.760000,-55.880000,-90.000000,top
"JP1","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",110.490000,-113.030000,180.000000,top
"PS1","HLK-PM01","Converter_ACDC_HiLink_HLK-PMxx",139.700000,-55.880000,-90.000000,top
"Q1","IRF830","TO-263-3_TabPin2",156.645000,-58.420000,0.000000,top
"Q2","IRF830","TO-263-3_TabPin2",156.645000,-73.660000,0.000000,top
"Q3","IRF830","TO-263-3_TabPin2",174.425000,-58.420000,0.000000,top
"Q4","IRF830","TO-263-3_TabPin2",174.425000,-73.660000,0.000000,top
"R1","330Ω","R_0603_1608Metric",177.800000,-95.250000,-90.000000,top
"R2","330Ω","R_0603_1608Metric",177.800000,-91.440000,-90.000000,top
"R3","10KΩ","R_0603_1608Metric",120.205000,-85.090000,180.000000,top
"R4","10KΩ","R_0603_1608Metric",120.205000,-82.550000,180.000000,top
"R5","10KΩ","R_0603_1608Metric",120.205000,-96.520000,180.000000,top
"R6","22KΩ","R_0603_1608Metric",149.860000,-82.930000,-90.000000,top
"R7","22KΩ","R_0603_1608Metric",167.640000,-82.930000,-90.000000,top
"R8","33KΩ/0.5W","R_0805_2012Metric",157.480000,-82.930000,90.000000,top
"R9","33KΩ/0.5W","R_0805_2012Metric",175.260000,-82.930000,90.000000,top
"R10","33KΩ/0.5W","R_0805_2012Metric",111.760000,-83.820000,180.000000,top
"R11","33KΩ/0.5W","R_0805_2012Metric",121.920000,-62.230000,-90.000000,top
"R12","33KΩ/0.5W","R_0805_2012Metric",111.760000,-71.120000,180.000000,top
"R13","33KΩ/0.5W","R_0805_2012Metric",119.380000,-62.230000,-90.000000,top
"R14","33KΩ/0.5W","R_0805_2012Metric",111.760000,-96.520000,180.000000,top
"R15","33KΩ/0.5W","R_0805_2012Metric",124.460000,-62.230000,-90.000000,top
"R16","33KΩ/0.5W","R_0805_2012Metric",157.480000,-86.740000,90.000000,top
"R17","33KΩ/0.5W","R_0805_2012Metric",175.260000,-86.740000,90.000000,top
"U1","Pico","RPi_Pico_SMD_TH",149.860000,-104.140000,90.000000,top
"U2","4N35","SMDIP-6_W7.62mm",184.150000,-96.520000,0.000000,top
"U3","4N35","SMDIP-6_W7.62mm",184.150000,-86.360000,0.000000,top
"U4","H11AA1","SMDIP-6_W9.53mm",115.570000,-90.170000,0.000000,top
"U5","H11AA1","SMDIP-6_W9.53mm",115.570000,-77.470000,0.000000,top
"U6","H11AA1","SMDIP-6_W9.53mm",115.570000,-102.870000,0.000000,top
