Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","2.2uF/63V","C_1206_3216Metric",-162.917500,-58.166000,0.000000,bottom
"C2","2.2uF/63V","C_1206_3216Metric",-162.917500,-68.072000,0.000000,bottom
"C3","2.2uF/63V","C_1206_3216Metric",-163.068000,-78.081500,0.000000,bottom
"C4","2.2uF/63V","C_1206_3216Metric",-163.068000,-87.987500,0.000000,bottom
"C5","2.2uF/63V","C_1206_3216Metric",-163.068000,-147.320000,0.000000,bottom
"C6","2.2uF/63V","C_1206_3216Metric",-163.068000,-137.414000,0.000000,bottom
"C7","2.2uF/63V","C_1206_3216Metric",-163.068000,-127.611500,0.000000,bottom
"C8","2.2uF/63V","C_1206_3216Metric",-163.068000,-117.705500,0.000000,bottom
"C9","2.2uF/63V","C_1206_3216Metric",-163.068000,-107.696000,0.000000,bottom
"C10","2.2uF/63V","C_1206_3216Metric",-163.068000,-97.790000,0.000000,bottom
"D1","10V/0.4W","D_SOD-123",-162.917500,-55.626000,0.000000,bottom
"D2","1N4007","D_SMA",-158.599500,-54.324000,-90.000000,bottom
"D3","10V/0.4W","D_SOD-123",-162.917500,-65.532000,0.000000,bottom
"D4","1N4007","D_SMA",-158.599500,-64.230000,-90.000000,bottom
"D5","10V/0.4W","D_SOD-123",-163.068000,-75.541500,0.000000,bottom
"D6","1N4007","D_SMA",-158.750000,-74.239500,-90.000000,bottom
"D7","10V/0.4W","D_SOD-123",-163.068000,-85.447500,0.000000,bottom
"D8","1N4007","D_SMA",-158.750000,-84.145500,-90.000000,bottom
"D9","10V/0.4W","D_SOD-123",-163.068000,-144.780000,0.000000,bottom
"D10","1N4007","D_SMA",-158.750000,-143.478000,-90.000000,bottom
"D11","10V/0.4W","D_SOD-123",-163.068000,-134.874000,0.000000,bottom
"D12","1N4007","D_SMA",-158.750000,-133.572000,-90.000000,bottom
"D13","10V/0.4W","D_SOD-123",-163.068000,-125.071500,0.000000,bottom
"D14","1N4007","D_SMA",-158.750000,-123.769500,-90.000000,bottom
"D15","10V/0.4W","D_SOD-123",-163.068000,-115.165500,0.000000,bottom
"D16","1N4007","D_SMA",-158.750000,-113.863500,-90.000000,bottom
"D17","10V/0.4W","D_SOD-123",-163.068000,-105.156000,0.000000,bottom
"D18","1N4007","D_SMA",-158.750000,-103.854000,-90.000000,bottom
"D19","10V/0.4W","D_SOD-123",-163.068000,-95.250000,0.000000,bottom
"D20","1N4007","D_SMA",-158.750000,-93.948000,-90.000000,bottom
"R5","33KΩ/0.5W","R_0805_2012Metric",-119.221500,-54.197500,180.000000,bottom
"R6","33KΩ/0.5W","R_0805_2012Metric",-119.221500,-59.277500,0.000000,bottom
"R8","22KΩ","R_0603_1608Metric",-166.219500,-56.642000,90.000000,bottom
"R9","33KΩ/0.5W","R_0805_2012Metric",-164.441500,-51.458500,-90.000000,bottom
"R10","33KΩ/0.5W","R_0805_2012Metric",-162.155500,-51.458500,90.000000,bottom
"R12","33KΩ/0.5W","R_0805_2012Metric",-119.319000,-64.008000,180.000000,bottom
"R13","33KΩ/0.5W","R_0805_2012Metric",-119.319000,-69.088000,0.000000,bottom
"R15","22KΩ","R_0603_1608Metric",-166.219500,-66.548000,90.000000,bottom
"R16","33KΩ/0.5W","R_0805_2012Metric",-164.441500,-61.364500,-90.000000,bottom
"R17","33KΩ/0.5W","R_0805_2012Metric",-162.155500,-61.364500,90.000000,bottom
"R19","33KΩ/0.5W","R_0805_2012Metric",-119.319000,-73.660000,180.000000,bottom
"R20","33KΩ/0.5W","R_0805_2012Metric",-119.319000,-78.740000,0.000000,bottom
"R22","22KΩ","R_0603_1608Metric",-166.370000,-76.557500,90.000000,bottom
"R23","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-71.374000,-90.000000,bottom
"R24","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-71.374000,90.000000,bottom
"R26","33KΩ/0.5W","R_0805_2012Metric",-119.319000,-83.312000,180.000000,bottom
"R27","33KΩ/0.5W","R_0805_2012Metric",-119.319000,-88.392000,0.000000,bottom
"R29","22KΩ","R_0603_1608Metric",-166.370000,-86.463500,90.000000,bottom
"R30","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-81.280000,-90.000000,bottom
"R31","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-81.280000,90.000000,bottom
"R33","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-112.268000,180.000000,bottom
"R34","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-117.348000,0.000000,bottom
"R36","22KΩ","R_0603_1608Metric",-166.370000,-145.796000,90.000000,bottom
"R37","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-140.612500,-90.000000,bottom
"R38","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-140.612500,90.000000,bottom
"R40","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-121.920000,180.000000,bottom
"R41","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-127.000000,0.000000,bottom
