Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10μF/50V,C_1206_3216Metric,198.755,-90.17,-90.0,top
C2,22μF/10V,C_0805_2012Metric,198.755,-95.25,90.0,top
D1,LED,D_0805_2012Metric,168.91,-96.1875,-90.0,top
D2,LED,D_0805_2012Metric,153.035,-101.6,180.0,top
D3,LED,D_0805_2012Metric,171.45,-96.1875,-90.0,top
D4,LED,D_0805_2012Metric,153.035,-99.06,180.0,top
D5,LED,D_0805_2012Metric,178.7675,-96.52,180.0,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,160.655,-100.92,180.0,top
J2,Screw_Terminal_01x02,RS PRO Terminal Small x2,179.07,-104.775,180.0,top
J3,Screw_Terminal_01x02,RS PRO Terminal Small x2,170.18,-104.775,180.0,top
J4,Conn_01x07_Pin,PinHeader_1x07_P2.54mm_Vertical,197.871,-60.96,90.0,top
R1,4.7KΩ,R_0402_1005Metric,153.035,-94.615,180.0,top
R2,1KΩ,R_0603_1608Metric,166.37,-96.52,90.0,top
R3,10KΩ,R_0603_1608Metric,152.4,-74.93,180.0,top
R4,1KΩ,R_0603_1608Metric,153.035,-104.14,0.0,top
R5,2.2KΩ,R_0603_1608Metric,152.4,-90.17,180.0,top
R6,1KΩ,R_0603_1608Metric,173.99,-96.52,90.0,top
R7,220Ω,R_0603_1608Metric,200.025,-76.2,90.0,top
R8,10KΩ,R_0603_1608Metric,161.29,-74.93,180.0,top
R9,1KΩ,R_0603_1608Metric,153.035,-96.52,0.0,top
R10,2.2KΩ,R_0603_1608Metric,161.378,-90.17,180.0,top
R11,220Ω,R_0603_1608Metric,179.07,-90.17,180.0,top
R12,1KΩ,R_0603_1608Metric,182.88,-96.52,180.0,top
R13,10KΩ,R_0603_1608Metric,170.18,-74.93,180.0,top
R14,2.2KΩ,R_0603_1608Metric,170.18,-90.17,180.0,top
U1,R-785.0-1.0,Converter_DCDC_RECOM_R-78E-0.5_THT,191.135,-102.87,0.0,top
U2,WeMos_D1_mini,WEMOS_D1_mini_light,131.445,-91.29,90.0,top
U3,4N35,DIP-6_W8.89mm_SMDSocket_LongPads,153.67,-82.55,90.0,top
U4,4N35,DIP-6_W8.89mm_SMDSocket_LongPads,195.58,-68.58,180.0,top
U5,4N35,DIP-6_W8.89mm_SMDSocket_LongPads,162.56,-82.55,90.0,top
U6,4N35,DIP-6_W8.89mm_SMDSocket_LongPads,180.34,-82.55,90.0,top
U7,4N35,DIP-6_W8.89mm_SMDSocket_LongPads,171.45,-82.55,90.0,top
