Comment,Designator,Footprint,LCSC
"LED","D1","Diode_SMD:D_0805_2012Metric","C2297"
"1N4148","D2","Diode_SMD:D_SOD-123","C81598"
"USB_A","J1","Connector_USB:USB_A_Molex_67643_Horizontal",""
"Conn_01x03_Male","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x04_Male","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Screw_Terminal_01x02","J4,J5,J6","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"G6DN-1A-L_DC5","K1","rs-online:G6DN-1A-L",""
"RS PRO 5V 2A","PS1","mylife-footprints:RS PRO 5V 2A",""
"2N3904","Q1","Package_TO_SOT_SMD:SOT-23","C18536"
"4.7KΩ","R1","Resistor_SMD:R_0402_1005Metric","C25900"
"1KΩ","R2","Resistor_SMD:R_0402_1005Metric","C11702"
"10KΩ","R3","Resistor_SMD:R_0402_1005Metric","C25744"
"330Ω","R4","Resistor_SMD:R_0402_1005Metric","C25104"
"Transformer_1P_2S","T1","rs-online:VCM36212",""
"ESP32-POE","U1","mylife-footprints:ESP32-POE",""
