Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,D_0805_2012Metric,160.7825,-69.84808,-90.0,top
D2,1N4148,D_SOD-123,164.5925,-70.48308,90.0,top
D3,LED,D_0805_2012Metric,132.08,-112.395,-90.0,top
D4,1N4148,D_SOD-123,135.89,-113.03,90.0,top
D5,LED,D_0805_2012Metric,132.08,-120.015,-90.0,top
D6,1N4148,D_SOD-123,135.89,-120.65,90.0,top
D7,LED,D_0805_2012Metric,132.08,-127.635,-90.0,top
D8,1N4148,D_SOD-123,135.89,-128.27,90.0,top
D9,LED,D_0805_2012Metric,132.08,-135.265,-90.0,top
D10,1N4148,D_SOD-123,135.89,-135.9,90.0,top
D11,LED,D_0805_2012Metric,132.08,-142.875,-90.0,top
D12,1N4148,D_SOD-123,135.89,-143.51,90.0,top
D13,LED,D_0805_2012Metric,132.08,-150.495,-90.0,top
D14,1N4148,D_SOD-123,135.89,-151.13,90.0,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,162.56,-49.53,0.0,top
J2,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,152.4,-49.53,0.0,top
J3,USB_A,875200010BLF,52.38,-94.955,0.0,top
J4,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,167.91808,-111.77,90.0,top
J5,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,167.91808,-119.39,90.0,top
J6,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,167.91808,-127.01,90.0,top
J7,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,167.91808,-134.64,90.0,top
J8,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,167.91808,-142.25,90.0,top
J9,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,167.91808,-149.87,90.0,top
J10,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,250.825,-132.08,90.0,top
J11,Screw_Terminal_01x04,TerminalBlock_bornier-4_P5.08mm,220.98,-153.67,0.0,top
J12,Screw_Terminal_01x04,TerminalBlock_bornier-4_P5.08mm,220.98,-111.76,0.0,top
J13,Screw_Terminal_01x06,TerminalBlock_bornier-6_P5.08mm,181.61,-121.285,-90.0,top
K1,G6DN-1A-L_DC5,G6DN-1A-L,172.085,-79.375,0.0,top
K2,G6DN-1A-L_DC5,G6DN-1A-L,161.55308,-110.5,0.0,top
K3,G6DN-1A-L_DC5,G6DN-1A-L,161.55308,-118.12,0.0,top
K4,G6DN-1A-L_DC5,G6DN-1A-L,161.55308,-125.74,0.0,top
K5,G6DN-1A-L_DC5,G6DN-1A-L,161.55308,-133.37,0.0,top
K6,G6DN-1A-L_DC5,G6DN-1A-L,161.55308,-140.98,0.0,top
K7,G6DN-1A-L_DC5,G6DN-1A-L,161.55308,-148.6,0.0,top
PS1,RS PRO 5V 2A,RS PRO 5V 2A,73.2775,-74.2875,0.0,top
Q1,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,156.3375,-71.75308,90.0,top
Q2,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,127.635,-114.3,90.0,top
Q3,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,127.635,-121.92,90.0,top
Q4,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,127.635,-129.54,90.0,top
Q5,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,127.635,-137.17,90.0,top
Q6,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,127.635,-144.78,90.0,top
Q7,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,127.635,-152.4,90.0,top
R1,4.7KΩ,R_0402_1005Metric,157.48,-53.34,-90.0,top
R2,1KΩ,R_0402_1005Metric,157.8725,-68.57808,0.0,top
R3,10KΩ,R_0402_1005Metric,155.0675,-68.57808,180.0,top
R4,1KΩ,R_0402_1005Metric,160.7825,-73.02308,0.0,top
R5,1KΩ,R_0402_1005Metric,129.17,-111.125,0.0,top
R6,10KΩ,R_0402_1005Metric,126.365,-111.125,180.0,top
R7,1KΩ,R_0402_1005Metric,132.08,-115.57,0.0,top
R8,1KΩ,R_0402_1005Metric,129.17,-118.745,0.0,top
R9,10KΩ,R_0402_1005Metric,126.365,-118.745,180.0,top
R10,1KΩ,R_0402_1005Metric,132.08,-123.19,0.0,top
R11,1KΩ,R_0402_1005Metric,129.17,-126.365,0.0,top
R12,10KΩ,R_0402_1005Metric,126.365,-126.365,180.0,top
R13,1KΩ,R_0402_1005Metric,132.08,-130.81,0.0,top
R14,1KΩ,R_0402_1005Metric,129.17,-133.995,0.0,top
R15,10KΩ,R_0402_1005Metric,126.365,-133.995,180.0,top
R16,1KΩ,R_0402_1005Metric,132.08,-138.44,0.0,top
R17,1KΩ,R_0402_1005Metric,129.17,-141.605,0.0,top
R18,10KΩ,R_0402_1005Metric,126.365,-141.605,180.0,top
R19,1KΩ,R_0402_1005Metric,132.08,-146.05,0.0,top
R20,1KΩ,R_0402_1005Metric,129.17,-149.225,0.0,top
R21,10KΩ,R_0402_1005Metric,126.365,-149.225,180.0,top
R22,1KΩ,R_0402_1005Metric,132.08,-153.67,0.0,top
T1,Transformer_1P_2S,VCM36212,191.415,-79.095,90.0,top
U1,ESP32-POE,ESP32-POE,84.455,-40.64,90.0,top
