Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,D_0805_2012Metric,218.45,-72.76192,90.0,top
D2,1N4148,D_SOD-123,218.45,-78.47692,90.0,top
D3,LED,D_0805_2012Metric,218.44,-109.22,90.0,top
D4,1N4148,D_SOD-123,218.44,-114.935,90.0,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,161.29,-119.395,180.0,top
J2,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,156.21,-120.66,180.0,top
J3,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,190.5,-131.445,-90.0,top
J4,Screw_Terminal_01x04,TerminalBlock_bornier-4_P5.08mm,206.375,-53.34,0.0,top
J5,Screw_Terminal_01x04,TerminalBlock_bornier-4_P5.08mm,206.375,-81.915,0.0,top
J6,Screw_Terminal_01x04,TerminalBlock_bornier-4_P5.08mm,206.375,-125.095,180.0,top
K1,G6DN-1A-L_DC5,G6DN-1A-L,222.885,-71.12,90.0,top
K2,G6DN-1A-L_DC5,G6DN-1A-L,222.875,-107.57808,90.0,top
PS1,Mean Well 12V 2.5A (30W),IRM-30-12,159.385,-60.675,0.0,top
PS2,RS PRO 24V 833mA (20W),RS PRO Alim 5V 2A,122.555,-125.73,180.0,top
PS3,Alim RS PRO 5V 1A,Converter_ACDC_MeanWell_IRM-03-xx_THT,109.22,-60.325,180.0,top
Q1,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,217.835318,-63.216602,-90.0,top
Q2,IRLZ44N,TO-220-3_Vertical,192.513,-119.38,-90.0,top
Q3,IRLZ44N,TO-220-3_Vertical,186.417,-119.38,-90.0,top
Q4,2N3904,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,217.825318,-99.674682,-90.0,top
Q5,IRLZ44N,TO-220-3_Vertical,180.537,-119.38,-90.0,top
Q6,IRLZ44N,TO-220-3_Vertical,180.259,-105.156,90.0,top
Q7,IRLZ44N,TO-220-3_Vertical,185.999,-105.156,90.0,top
Q8,IRLZ44N,TO-220-3_Vertical,191.639,-105.156,90.0,top
R1,4.7KΩ,R_0402_1005Metric,164.465,-117.475,90.0,top
R2,1KΩ,R_0402_1005Metric,218.45,-67.04692,180.0,top
R3,10KΩ,R_0402_1005Metric,218.45,-68.31692,0.0,top
R4,1KΩ,R_0402_1005Metric,218.45,-69.58692,0.0,top
R5,10KΩ,R_0402_1005Metric,192.076,-113.284,0.0,top
R6,10KΩ,R_0402_1005Metric,185.98,-113.284,0.0,top
R7,1KΩ,R_0402_1005Metric,218.44,-103.505,180.0,top
R8,10KΩ,R_0402_1005Metric,218.44,-104.775,0.0,top
R9,10KΩ,R_0402_1005Metric,180.392,-113.284,0.0,top
R10,1KΩ,R_0402_1005Metric,218.44,-106.045,0.0,top
R11,10KΩ,R_0402_1005Metric,180.392,-111.252,0.0,top
R12,10KΩ,R_0402_1005Metric,185.98,-111.252,0.0,top
R13,10KΩ,R_0402_1005Metric,192.076,-111.252,0.0,top
U1,ESP32-POE,ESP32-POE,123.8205,-96.51,90.0,top
